Pair,EntryTime,ExitTime,EntryPrice,ExitPrice,R,DurationBars,BTC_OK,VolExpansion,FailedBounce,Rejection,LiquidationOverride,MaxFavorableR,MaxAdverseR
B-BTCUSDT,1769355900000,1769365800000,88446.5,87298.48288634924,3.00,11,1,0,0,0,1,4.23,0.01
B-ETHUSDT,1520356500000,1520415900000,816.68,776.8076981630556,4.50,66,1,0,0,0,1,3.14,0.81
B-ETHUSDT,1521293400000,1521315900000,581.02,551.5088109259815,4.50,25,1,0,0,1,1,3.43,0.59
B-ETHUSDT,1521332100000,1521380700000,533.02,480.59732946690144,3.00,54,1,0,0,0,1,3.21,0.29
B-ETHUSDT,1522296000000,1522355400000,430.33,392.2852679399716,3.00,66,1,0,0,0,1,3.27,0.05
B-ETHUSDT,1528587900000,1528602300000,592.87,569.8505697269559,5.25,16,1,0,0,0,1,3.39,0.00
B-ETHUSDT,1528615800000,1528652700000,562.11,532.9291445486679,5.25,41,1,0,0,0,1,3.39,0.93
B-ETHUSDT,1533671100000,1533726900000,394.56,361.0892367758569,4.50,62,1,0,0,0,1,3.03,0.05
B-ETHUSDT,1536085800000,1536140700000,285.6,272.23726740737305,5.25,61,1,0,0,0,1,4.45,0.45
B-ETHUSDT,1539134100000,1539147600000,227.37,224.44847835645558,3.00,15,1,0,0,0,1,3.22,0.42
B-ETHUSDT,1542134700000,1542205800000,209.84,201.24422746117773,5.25,51,1,0,0,0,1,3.26,0.44
B-ETHUSDT,1542589200000,1542614400000,173.73,160.09073874067366,3.00,28,1,0,0,0,1,3.90,0.25
B-ETHUSDT,1544064300000,1544072400000,101.38,96.22891534648073,3.00,9,1,0,0,0,1,3.15,0.71
B-ETHUSDT,1544996700000,1545032700000,84.79,86.03200255222183,-1.00,40,1,0,0,0,1,0.45,1.43
B-ETHUSDT,1548582300000,1548599400000,114.37,112.27655409073176,5.25,19,1,0,0,0,1,4.77,0.32
B-ETHUSDT,1554582600000,1554667200000,167.78,171.52465120128403,-1.00,94,1,0,0,0,1,1.54,1.44
B-ETHUSDT,1561019400000,1561031100000,266.57,267.9655939211841,-1.00,13,1,0,0,0,1,0.62,1.11
B-ETHUSDT,1561464900000,1561499100000,310.14,314.34924024652423,-1.00,38,1,0,0,0,1,0.75,1.11
B-ETHUSDT,1569276000000,1569334500000,200.23,191.58022601595025,4.50,65,1,0,0,0,1,3.11,0.95
B-ETHUSDT,1574324100000,1574334000000,173.82,169.7007417357255,5.25,11,1,0,0,1,1,5.03,0.36
B-ETHUSDT,1574345700000,1574347500000,167.88,164.12561241570782,5.25,2,1,0,0,1,1,3.01,0.03
B-ETHUSDT,1576520100000,1576674000000,135.23,116.54415128592922,5.25,171,1,0,0,0,1,3.05,0.02
B-ETHUSDT,1583603100000,1583670600000,238.99,225.41776087011368,4.50,75,1,0,0,0,1,3.09,0.36
B-ETHUSDT,1583946000000,1583960400000,187.84,193.4815545626249,-1.00,16,1,0,0,0,1,1.08,1.05
B-ETHUSDT,1583993700000,1584009000000,175.42,151.33622846273244,4.50,17,1,0,0,0,1,3.98,0.01
B-ETHUSDT,1586106000000,1586108700000,141.55,143.12548337242066,-1.00,3,1,0,1,0,1,0.55,1.38
B-ETHUSDT,1586947500000,1586995200000,157.55,151.0432130897942,5.25,53,1,0,0,0,1,3.37,0.35
B-ETHUSDT,1592112600000,1592170200000,236.4,232.58456163454545,5.25,64,1,0,0,1,1,3.47,0.47
B-ETHUSDT,1596276900000,1596298500000,353.75,360.5313717393109,-1.00,24,1,0,0,0,1,0.14,1.31
B-ETHUSDT,1600617600000,1600623000000,367.51,372.72878409175576,-1.00,6,1,0,0,0,1,0.48,1.13
B-ETHUSDT,1606723200000,1606734900000,575.3,587.9085095182973,-1.00,13,1,0,0,1,1,0.41,1.30
B-ETHUSDT,1609580700000,1609589700000,725.41,734.4529408077518,-1.00,10,1,0,0,0,1,0.27,1.95
B-ETHUSDT,1610247600000,1610264700000,1320.35,1341.721382416354,-1.00,19,1,0,0,0,1,0.74,1.19
B-ETHUSDT,1610277300000,1610334000000,1280.24,1144.489901017044,5.25,63,1,0,0,0,1,3.07,0.99
B-ETHUSDT,1614002400000,1614025800000,1652.31,1779.7671670086959,-1.00,26,1,0,0,0,1,0.79,1.02
B-ETHUSDT,1624183200000,1624217400000,2130.82,2188.521523173168,-1.00,38,1,0,0,0,1,1.56,1.90
B-ETHUSDT,1632049200000,1632096900000,3384.71,3275.3340930837176,5.25,53,1,0,0,0,1,3.31,0.22
B-ETHUSDT,1642714200000,1642729500000,3126.51,2906.1374542320914,5.25,17,1,0,0,0,1,3.17,0.00
B-ETHUSDT,1650213900000,1650233700000,3058.7,3077.062029354774,-1.00,22,1,0,0,0,1,1.95,1.02
B-ETHUSDT,1652017500000,1652034600000,2524,2554.49712691844,-1.00,19,1,0,0,0,1,1.31,1.57
B-ETHUSDT,1654864200000,1654937100000,1739.03,1599.645143399193,5.25,81,1,0,0,0,1,3.53,0.23
B-ETHUSDT,1666522800000,1666533600000,1304.49,1310.5060495817138,-1.00,12,1,0,0,0,1,0.84,1.22
B-ETHUSDT,1666620900000,1666638000000,1329.58,1349.7750562586489,-1.00,19,1,0,0,0,1,0.18,1.05
B-ETHUSDT,1667775600000,1667849400000,1573.24,1607.24704430635,-1.00,82,1,0,0,0,1,0.79,1.02
B-ETHUSDT,1667856600000,1667880000000,1577.42,1502.4689377385594,5.25,26,1,0,0,0,1,4.78,0.16
B-ETHUSDT,1668933000000,1668945600000,1206.19,1158.7984066665701,5.25,14,1,0,0,0,1,3.37,0.31
B-ETHUSDT,1670847300000,1670877900000,1249.08,1257.0931858093106,-1.00,34,1,0,0,0,1,0.69,2.25
B-ETHUSDT,1672757100000,1672794000000,1210.33,1219.7143220295964,-1.00,41,1,0,0,0,1,0.58,1.14
B-ETHUSDT,1673136900000,1673137800000,1263.41,1258.862442500001,3.00,1,1,0,1,1,0,3.72,0.08
B-ETHUSDT,1673170200000,1673189100000,1262.58,1266.1150089619398,-1.00,21,1,0,0,0,1,0.37,1.06
B-ETHUSDT,1673197200000,1673208000000,1266.74,1268.1894302876083,-1.00,12,1,0,1,1,0,2.37,1.86
B-ETHUSDT,1673451000000,1673460000000,1324.63,1335.5627140643805,-1.00,10,1,0,0,0,1,0.31,1.86
B-ETHUSDT,1674596700000,1674598500000,1599.01,1543.5603886555432,5.25,2,1,0,0,1,1,3.46,0.15
B-ETHUSDT,1676283300000,1676290500000,1474.8,1489.9362751952626,-1.00,8,1,0,1,1,0,0.03,1.13
B-ETHUSDT,1680447600000,1680509700000,1796.57,1817.465070601446,-1.00,69,1,0,0,0,1,1.62,1.00
B-ETHUSDT,1685979900000,1686069900000,1820.6,1858.4928765998498,-1.00,100,1,0,0,0,1,1.12,1.30
B-ETHUSDT,1686325500000,1686370500000,1841.71,1817.734777266038,5.25,50,1,0,0,0,1,6.80,0.41
B-ETHUSDT,1688553000000,1688625900000,1911.18,1926.9210752885165,-1.00,81,1,0,0,0,1,1.06,1.01
B-ETHUSDT,1689189300000,1689261300000,1877.25,1888.3302594707786,-1.00,80,1,0,0,0,1,1.32,2.10
B-ETHUSDT,1691358300000,1691370900000,1830.2,1835.9925883311885,-1.00,14,1,0,0,0,1,0.65,2.38
B-ETHUSDT,1692126000000,1692286200000,1820,1753.6145806641468,5.25,178,1,0,0,0,1,4.25,0.54
B-ETHUSDT,1694304900000,1694320200000,1631.91,1619.194446121435,5.25,17,1,0,0,0,1,3.23,0.13
B-ETHUSDT,1694356200000,1694364300000,1622.39,1605.9423438916378,3.00,9,1,0,0,0,1,4.08,0.28
B-ETHUSDT,1694392200000,1694440800000,1608.47,1575.1294756341924,3.00,54,1,0,0,0,1,3.76,0.85
B-ETHUSDT,1694966400000,1694973600000,1627.76,1618.4920526746516,3.00,8,1,0,0,1,1,3.24,0.00
B-ETHUSDT,1696170600000,1696198500000,1681.76,1691.80911402118,-1.00,31,1,0,0,0,1,1.37,6.89
B-ETHUSDT,1697409900000,1697419800000,1555.18,1565.1720508875742,-1.00,11,1,0,0,0,1,0.20,1.02
B-ETHUSDT,1698047100000,1698079500000,1676.15,1688.9300763188085,-1.00,36,1,0,1,1,1,1.08,1.36
B-ETHUSDT,1704640500000,1704681900000,2233.83,2180.9829634496964,3.00,46,1,0,0,0,1,3.54,0.99
B-ETHUSDT,1707683400000,1707696900000,2502.81,2515.8401495630496,-1.00,15,1,0,0,0,1,0.72,1.70
B-ETHUSDT,1711931400000,1711950300000,3621.09,3556.968307726974,5.25,21,1,0,0,0,1,5.67,0.28
B-ETHUSDT,1712942100000,1713038400000,3320.74,2983.0807760064126,5.25,107,1,0,0,0,1,4.16,0.25
B-ETHUSDT,1716184800000,1716220800000,3108.39,3130.5616476741275,-1.00,40,1,0,0,1,1,1.96,1.22
B-ETHUSDT,1717691400000,1717782300000,3827.39,3743.7356924706773,5.25,101,1,0,0,0,1,3.71,0.50
B-ETHUSDT,1718005500000,1718012700000,3647.79,3674.2508716752745,-1.00,8,1,0,0,0,1,0.03,1.00
B-ETHUSDT,1719161100000,1719197100000,3463.32,3403.4722546549942,3.00,40,1,0,0,1,1,3.82,0.92
B-ETHUSDT,1719973800000,1720001700000,3372.84,3307.9561911025626,5.25,31,1,0,0,0,1,3.27,0.50
B-ETHUSDT,1720054800000,1720058400000,3280.46,3170.9236180707344,4.50,4,1,0,0,0,1,3.44,0.38
